run_id,scheduler,workload,repetition,seed,task_id,tenant_id,priority,outcome,submitted_at,dispatched_at,started_at,finished_at,deadline,exec_ms,actual_exec_ms,retry_count,queue_wait_s,latency_s,deadline_missed,worker
example,fifo,multi_tenant,0,1000,quick-000067,A,0,completed,2026-09-08T09:26:38.773454Z,2026-09-08T09:26:38.895Z,2026-09-08T09:26:38.895907Z,2026-09-08T09:26:38.953946Z,2026-09-08T09:26:39.221454Z,58,58,0,0.122453,0.180492,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000069,A,0,completed,2026-09-08T09:26:38.789833Z,2026-09-08T09:26:38.909Z,2026-09-08T09:26:38.909579Z,2026-09-08T09:26:38.956654Z,2026-09-08T09:26:39.298833Z,47,47,0,0.119746,0.166821,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000070,A,1,completed,2026-09-08T09:26:38.789834Z,2026-09-08T09:26:38.914Z,2026-09-08T09:26:38.915242Z,2026-09-08T09:26:38.961315Z,2026-09-08T09:26:39.236834Z,46,46,0,0.125408,0.171481,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000071,A,1,completed,2026-09-08T09:26:38.789835Z,2026-09-08T09:26:38.92Z,2026-09-08T09:26:38.92059Z,2026-09-08T09:26:38.965672Z,2026-09-08T09:26:39.243835Z,45,45,0,0.130755,0.175837,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000074,A,1,completed,2026-09-08T09:26:38.799271Z,2026-09-08T09:26:38.933Z,2026-09-08T09:26:38.933807Z,2026-09-08T09:26:38.980002Z,2026-09-08T09:26:39.380271Z,46,46,0,0.134536,0.180731,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000073,A,0,completed,2026-09-08T09:26:38.79865Z,2026-09-08T09:26:38.928Z,2026-09-08T09:26:38.928696Z,2026-09-08T09:26:38.987881Z,2026-09-08T09:26:39.31065Z,59,59,0,0.130046,0.189231,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000072,A,0,completed,2026-09-08T09:26:38.795812Z,2026-09-08T09:26:38.928Z,2026-09-08T09:26:38.928695Z,2026-09-08T09:26:38.988757Z,2026-09-08T09:26:39.273812Z,60,60,0,0.132883,0.192945,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000076,A,1,completed,2026-09-08T09:26:38.806505Z,2026-09-08T09:26:38.956Z,2026-09-08T09:26:38.95673Z,2026-09-08T09:26:39.000825Z,2026-09-08T09:26:39.197505Z,44,44,0,0.150225,0.194320,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000075,D,1,completed,2026-09-08T09:26:38.799271Z,2026-09-08T09:26:38.956Z,2026-09-08T09:26:38.956729Z,2026-09-08T09:26:39.002778Z,2026-09-08T09:26:39.372271Z,46,46,0,0.157458,0.203507,false,bench-worker-1-3
example,fifo,multi_tenant,0,1000,quick-000077,A,0,completed,2026-09-08T09:26:38.813974Z,2026-09-08T09:26:38.956Z,2026-09-08T09:26:38.957871Z,2026-09-08T09:26:39.006966Z,2026-09-08T09:26:39.255974Z,49,49,0,0.143897,0.192992,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000078,E,3,completed,2026-09-08T09:26:38.827455Z,2026-09-08T09:26:38.962Z,2026-09-08T09:26:38.962634Z,2026-09-08T09:26:39.011794Z,2026-09-08T09:26:39.354455Z,49,49,0,0.135179,0.184339,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000080,A,1,completed,2026-09-08T09:26:38.835514Z,2026-09-08T09:26:38.98Z,2026-09-08T09:26:38.981026Z,2026-09-08T09:26:39.026234Z,2026-09-08T09:26:39.225514Z,45,45,0,0.145512,0.190720,false,bench-worker-1-1
